sample,block,ensemble_freq
H37Rv.reaeration.for.12hrs.rep.1,aeration,1.0
H37Rv.reaeration.for.12hrs.rep.2,aeration,1.0
H37Rv.reaeration.for.12hrs.rep.3,aeration,1.0
H37Rv.reaeration.for.12hrs.rep.4,aeration,1.0
H37Rv.reaeration.for.12hrs.rep.5,aeration,1.0
H37Rv.reaeration.for.12hrs.rep.6,aeration,1.0
H37Rv.reaeration.for.1hrs.rep.1,aeration,1.0
H37Rv.reaeration.for.1hrs.rep.2,aeration,1.0
H37Rv.reaeration.for.1hrs.rep.3,aeration,1.0
H37Rv.reaeration.for.1hrs.rep.4,aeration,1.0
H37Rv.reaeration.for.1hrs.rep.5,aeration,1.0
H37Rv.reaeration.for.1hrs.rep.6,aeration,1.0
H37Rv.reaeration.for.1hrs.rep.8,aeration,1.0
H37Rv.reaeration.for.24hrs.rep.1,aeration,1.0
H37Rv.reaeration.for.24hrs.rep.2,aeration,1.0
H37Rv.reaeration.for.24hrs.rep.3,aeration,1.0
H37Rv.reaeration.for.24hrs.rep.4,aeration,1.0
H37Rv.reaeration.for.24hrs.rep.5,aeration,1.0
H37Rv.reaeration.for.24hrs.rep.6,aeration,1.0
H37Rv.reaeration.for.4hrs.rep.1,aeration,1.0
H37Rv.reaeration.for.4hrs.rep.2,aeration,1.0
H37Rv.reaeration.for.4hrs.rep.3,aeration,1.0
H37Rv.reaeration.for.4hrs.rep.4,aeration,1.0
H37Rv.reaeration.for.4hrs.rep.5,aeration,1.0
H37Rv.reaeration.for.4hrs.rep.6,aeration,1.0
H37Rv.reaeration.for.4hrs.rep.7,aeration,1.0
H37Rv.reaeration.for.4hrs.rep.8,aeration,1.0
H37Rv.reaeration.for.6hrs.rep.1,aeration,1.0
H37Rv.reaeration.for.6hrs.rep.2,aeration,1.0
H37Rv.reaeration.for.6hrs.rep.3,aeration,1.0
H37Rv.reaeration.for.6hrs.rep.4,aeration,1.0
H37Rv.reaeration.for.6hrs.rep.5,aeration,1.0
MTB.strain.1254.Ctrl.vs.high.aeration.rep1,aeration,1.0
MTB.strain.1254.Ctrl.vs.high.aeration.rep2,aeration,1.0
MTB.strain.1254.Ctrl.vs.high.aeration.rep3,aeration,1.0
X0.12mg.mL.BZA.pH5.6..2h.,antitb.aromatic.amides,0.0
X0.12mg.mL.BZA.pH5.6..4h..1,antitb.aromatic.amides,0.0
X0.12mg.mL.BZA.pH5.6..4h..2,antitb.aromatic.amides,0.0
X0.12mg.mL.BZAvspH5.6..11h.,antitb.aromatic.amides,0.0
X0.12mg.mL.BZAvspH5.6..5h.,antitb.aromatic.amides,0.0
X0.12mg.mL.BZAvspH5.6..7h.,antitb.aromatic.amides,0.0
X0.12mg.mL.Nam.pH5.6..2h..1,antitb.aromatic.amides,0.0
X0.12mg.mL.Nam.pH5.6..2h..2,antitb.aromatic.amides,0.0
X0.12mg.mL.Nam.pH5.6..4h..1,antitb.aromatic.amides,0.0
X0.12mg.mL.Nam.pH5.6..4h..2,antitb.aromatic.amides,0.0
X0.12mg.mL.NamvspH5.6..4h.,antitb.aromatic.amides,0.0
X0.12mg.mL.NamvspH5.6..5.5h.,antitb.aromatic.amides,0.0
X0.12mg.mL.NamvspH5.6..7h.,antitb.aromatic.amides,0.0
X0.12mg.mL.PZA.pH5.6..2.5h.,antitb.aromatic.amides,0.0
X0.12mg.mL.PZA.pH5.6..2h.,antitb.aromatic.amides,0.0
X0.12mg.mL.PZA.pH5.6..4h..1,antitb.aromatic.amides,0.0
X0.12mg.mL.PZA.pH5.6..4h..2,antitb.aromatic.amides,0.0
X0.12mg.mL.PZA.pH5.6..5h.,antitb.aromatic.amides,0.0
X0.12mg.mL.PZAvspH5.6..10.5h.,antitb.aromatic.amides,0.0
X0.12mg.mL.PZAvspH5.6..11h.,antitb.aromatic.amides,0.0
X0.12mg.mL.PZAvspH5.6..4h.,antitb.aromatic.amides,0.0
X0.12mg.mL.PZAvspH5.6..4h.A,antitb.aromatic.amides,0.0
X0.12mg.mL.PZAvspH5.6..5.5h.,antitb.aromatic.amides,0.0
X0.12mg.mL.PZAvspH5.6..6h.,antitb.aromatic.amides,0.0
X0.12mg.mL.PZAvspH5.6..6h.A,antitb.aromatic.amides,0.0
X1.2mg.mL.NamvspH5.6..10.5h.,antitb.aromatic.amides,0.0
X1.2mg.mL.NamvspH5.6..5h.,antitb.aromatic.amides,0.0
X1.2mg.mL.PZA.pH5.6..2h..,antitb.aromatic.amides,0.0
X1.2mg.mL.PZA.pH5.6..5h.,antitb.aromatic.amides,0.0
X1.2mg.mL.PZAvspH5.6..10.5h.,antitb.aromatic.amides,0.0
X1.2mg.mL.PZAvspH5.6..16h.,antitb.aromatic.amides,0.0
X1.2mg.mL.PZAvspH5.6..4h.,antitb.aromatic.amides,0.0
X1.2mg.mL.PZAvspH5.6..4h.A,antitb.aromatic.amides,0.0
X1.2mg.mL.PZAvspH5.6..4h.B,antitb.aromatic.amides,0.0
X1.2mg.mL.PZAvspH5.6..6h.,antitb.aromatic.amides,0.0
X1.2mg.mL.PZAvspH5.6..6h.A,antitb.aromatic.amides,0.0
X1.2mg.mL.PZAvspH5.6..7h.,antitb.aromatic.amides,0.0
X1.2mg.mL.PZAvspH5.6..7h.A,antitb.aromatic.amides,0.0
X40ug.mL.5CL.pH5.6..2h..1,antitb.aromatic.amides,0.0
X40ug.mL.5CL.pH5.6..2h..2,antitb.aromatic.amides,0.0
X40ug.mL.5CL.pH5.6..4h..1,antitb.aromatic.amides,0.0
X40ug.mL.5CL.pH5.6..4h..2,antitb.aromatic.amides,0.0
X40ug.mL.5CL.pH5.6..4h..3,antitb.aromatic.amides,0.0
X80ug.mL.5CL.pH5.6..2h.,antitb.aromatic.amides,0.0
Mtm.0.2ug.mL.vs.ctrl.12h.1.x,antitb.DNA damage,0.0
Mtm.0.2ug.mL.vs.ctrl.12h.1.y,antitb.DNA damage,0.0
Mtm.0.2ug.mL.vs.ctrl.8h.1.x,antitb.DNA damage,0.0
Mtm.0.2ug.mL.vs.ctrl.8h.1.y,antitb.DNA damage,0.0
Mtm.0.2ug.mL.vs.ctrl.8h.2.x,antitb.DNA damage,0.0
Mtm.0.2ug.mL.vs.ctrl.8h.2.y,antitb.DNA damage,0.0
X0.1ug.mL.Mtmvsctrl..0.33h..x,antitb.DNA.damage,0.0
X0.1ug.mL.Mtmvsctrl..0.75h..x,antitb.DNA.damage,0.0
X0.1ug.mL.Mtmvsctrl..1.5h..x,antitb.DNA.damage,0.0
X0.2ug.mL.Mtmvsctrl..4h..x,antitb.DNA.damage,0.0
X0.2ug.mL.Mtm.ctrl..4h...2.x,antitb.DNA.damage,0.0
X0.2ug.mL.Mtmvsctrl..0.33h..x,antitb.DNA.damage,0.0
X0.2ug.mL.Mtmvsctrl..0.75h..x,antitb.DNA.damage,0.0
X0.2ug.mL.Mtmvsctrl..1.5h..x,antitb.DNA.damage,0.0
X0.2ug.mL.Mtmvsctrl..2h..x,antitb.DNA.damage,0.0
X0.2ug.mL.Mtmvsctrl..2h.A.x,antitb.DNA.damage,0.0
X0.2ug.mL.Mtmvsctrl..2h.B.x,antitb.DNA.damage,0.0
X0.2ug.mL.Mtmvsctrl..2h.C.x,antitb.DNA.damage,0.0
X0.2ug.mL.Mtmvsctrl..4h..x,antitb.DNA.damage,0.0
X0.2ug.mL.Mtmvsctrl..4h.A.x,antitb.DNA.damage,0.0
X0.2ug.mL.Mtmvsctrl..4h.B.x,antitb.DNA.damage,0.0
X0.2ug.mL.Mtmvsctrl..6h..x,antitb.DNA.damage,0.0
X10ug.mL.LevovsEtOH..6h,antitb.DNA.damage,0.0
X10ug.mL.LevovsEtOH..6hA,antitb.DNA.damage,0.0
X10ug.mL.Nvb.DMSO..6h..1,antitb.DNA.damage,0.0
X10ug.mL.Nvb.DMSO..6h..2,antitb.DNA.damage,0.0
X10ug.mL.Nvb.DMSO..6h..3,antitb.DNA.damage,0.0
X10ug.mL.OfloxvsDMSO..6h,antitb.DNA.damage,0.0
X10ug.mL.OfloxvsDMSO..6hA,antitb.DNA.damage,0.0
X5ug.mL.OfloxvsEtOH..6h,antitb.DNA.damage,0.0
X5ug.mL.OfloxvsEtOH..6hA,antitb.DNA.damage,0.0
X0.1ug.mL.Mtmvsctrl..0.33h..x,antitb.DNA.damage,0.0
X0.1ug.mL.Mtmvsctrl..0.33h..y,antitb.DNA.damage,0.0
X0.1ug.mL.Mtmvsctrl..0.75h..x,antitb.DNA.damage,0.0
X0.1ug.mL.Mtmvsctrl..0.75h..y,antitb.DNA.damage,0.0
X0.1ug.mL.Mtmvsctrl..1.5h..x,antitb.DNA.damage,0.0
X0.1ug.mL.Mtmvsctrl..1.5h..y,antitb.DNA.damage,0.0
X0.2ug.mL.Mtm.ctrl..4h...1.x,antitb.DNA.damage,0.0
X0.2ug.mL.Mtm.ctrl..4h...1.y,antitb.DNA.damage,0.0
X0.2ug.mL.Mtm.ctrl..4h...2.x,antitb.DNA.damage,0.0
X0.2ug.mL.Mtm.ctrl..4h...2.y,antitb.DNA.damage,0.0
X0.2ug.mL.Mtmvsctrl..0.33h..x,antitb.DNA.damage,0.0
X0.2ug.mL.Mtmvsctrl..0.33h..y,antitb.DNA.damage,0.0
X0.2ug.mL.Mtmvsctrl..0.75h..x,antitb.DNA.damage,0.0
X0.2ug.mL.Mtmvsctrl..0.75h..y,antitb.DNA.damage,0.0
X0.2ug.mL.Mtmvsctrl..1.5h..x,antitb.DNA.damage,0.0
X0.2ug.mL.Mtmvsctrl..1.5h..y,antitb.DNA.damage,0.0
X0.2ug.mL.Mtmvsctrl..2h..x,antitb.DNA.damage,0.0
X0.2ug.mL.Mtmvsctrl..2h..y,antitb.DNA.damage,0.0
X0.2ug.mL.Mtmvsctrl..2h.A.x,antitb.DNA.damage,0.0
X0.2ug.mL.Mtmvsctrl..2h.A.y,antitb.DNA.damage,0.0
X0.2ug.mL.Mtmvsctrl..2h.B.x,antitb.DNA.damage,0.0
X0.2ug.mL.Mtmvsctrl..2h.B.y,antitb.DNA.damage,0.0
X0.2ug.mL.Mtmvsctrl..2h.C.x,antitb.DNA.damage,0.0
X0.2ug.mL.Mtmvsctrl..2h.C.y,antitb.DNA.damage,0.0
X0.2ug.mL.Mtmvsctrl..4h..x,antitb.DNA.damage,0.0
X0.2ug.mL.Mtmvsctrl..4h..y,antitb.DNA.damage,0.0
X0.2ug.mL.Mtmvsctrl..4h.A.x,antitb.DNA.damage,0.0
X0.2ug.mL.Mtmvsctrl..4h.A.y,antitb.DNA.damage,0.0
X0.2ug.mL.Mtmvsctrl..4h.B.x,antitb.DNA.damage,0.0
X0.2ug.mL.Mtmvsctrl..4h.B.y,antitb.DNA.damage,0.0
X0.2ug.mL.Mtmvsctrl..6h..x,antitb.DNA.damage,0.0
X0.2ug.mL.Mtmvsctrl..6h..y,antitb.DNA.damage,0.0
H37Rv.O2.depleted..ctrl.vs.1ug.ml.Isoniazid.for.2hrs.rep.1,antitb.inhibit.cell.wall.synthesis,0.2
H37Rv.O2.depleted..ctrl.vs.1ug.ml.Isoniazid.for.2hrs.rep.2,antitb.inhibit.cell.wall.synthesis,0.2
H37Rv.O2.depleted..ctrl.vs.1ug.ml.Isoniazid.for.2hrs.rep.3,antitb.inhibit.cell.wall.synthesis,0.2
MTB1254.3524.1._INH_20MIN,antitb.inhibit.cell.wall.synthesis,0.2
MTB1254.3524.2._INH_20MIN,antitb.inhibit.cell.wall.synthesis,0.2
MTB1254_INH_20MIN,antitb.inhibit.cell.wall.synthesis,0.2
X.109..0.1ug.mL..vs.DMSO..12h..GEO.acc.GSM28050.,antitb.inhibit.cell.wall.synthesis,0.2
X.109..10ug.mL..DMSO..12h..replicate.2..GEO.acc..GSM28054.,antitb.inhibit.cell.wall.synthesis,0.2
X.109..10ug.mL..vs.DMSO..12h..replicate.1..GEO.acc..GSM28053.,antitb.inhibit.cell.wall.synthesis,0.2
X.109..1ug.mL..vs.DMSO..12h..replicate.1..GEO.ac.GSM28051.,antitb.inhibit.cell.wall.synthesis,0.2
X.109..1ug.mL..vs.DMSO..12h..replicate.2..GEO.acc.GSM28052.,antitb.inhibit.cell.wall.synthesis,0.2
X.241..0.1ug.mL..DMSO..12h..1..GEO.acc.GSM28046.,antitb.inhibit.cell.wall.synthesis,0.2
X.241..10ug.mL..DMSO..12h..1,antitb.inhibit.cell.wall.synthesis,0.2
X.241..10ug.mL..DMSO..12h..2,antitb.inhibit.cell.wall.synthesis,0.2
X.241..1ug.mL..DMSO..12h..1,antitb.inhibit.cell.wall.synthesis,0.2
X0.13mg.mL.TLMvsDMSO..6h,antitb.inhibit.cell.wall.synthesis,0.2
X0.13mg.mL.TLMvsDMSO..6hA,antitb.inhibit.cell.wall.synthesis,0.2
X0.15mg.mL.TricvsEtOH..6h,antitb.inhibit.cell.wall.synthesis,0.2
X0.15mg.mL.TricvsEtOH..6hA,antitb.inhibit.cell.wall.synthesis,0.2
X0.1mg.mL.TriclosanvsEtOH..6h,antitb.inhibit.cell.wall.synthesis,0.2
X0.1mg.mL.TriclosanvsEtOH..6hA,antitb.inhibit.cell.wall.synthesis,0.2
X0.1mg.mLTriclosanvsEtOH.6hB,antitb.inhibit.cell.wall.synthesis,0.2
X0.1mg.mLTriclosanvsEtOH.6hC,antitb.inhibit.cell.wall.synthesis,0.2
X0.2mg.mL.AmpvsEtOH..6h,antitb.inhibit.cell.wall.synthesis,0.2
X0.2mg.mL.AmpvsEtOH..6hA,antitb.inhibit.cell.wall.synthesis,0.2
X0.2mg.mL.AmpvsEtOH..6hB,antitb.inhibit.cell.wall.synthesis,0.2
X0.2mg.mL.AmpvsEtOH..6hC,antitb.inhibit.cell.wall.synthesis,0.2
