inclusion_blocks,block_sample_num,freq_single,freq_coinclusion,max_coinclusion_all,max_coinclusion_sub
aeration:::growth.strain.comp,184,0.6,0.5,0.0,0.0
aeration:::growth.wt,101,0.4,0.5,0.0,0.0
aeration:::growth.wt:::carbon.source,107,0.6,0.44,0.0,0.0
aeration:::growth.wt:::growth.strain.comp,250,0.6,0.44,0.0,0.0
antitb.inhibit.cell.wall.synthesis:::cell.envelope.stress:::pH.stress,214,0.8,0.5,0.0,0.0
antitb.inhibit.respiration:::low.oxygen,112,0.2,0.5,0.0,0.0
antitb.DNA.damage,63,0.0,,0.0,
antitb.DNA.damage:::DNA.damage,130,0.2,0.5,0.0,0.0
antitb.DNA.damage:::DNA.damage:::oxidative.stress,210,0.4,0.33,0.0,0.0
antitb.inhibit.cell.wall.synthesis,162,0.2,1.0,0.2,1.0
antitb.inhibit.protein.synthesis,163,0.0,,0.0,
antitb.inhibit.protein.synthesis:::macrophage,236,0.2,0.5,0.0,0.0
antitb.inhibit.protein.synthesis:::nitrosative.stress,262,0.4,0.5,0.0,0.0
antitb.inhibit.protein.synthesis:::oxidative.stress,243,0.2,0.5,0.0,0.0
antitb.inhibit.respiration,91,0.2,1.0,0.2,1.0
antitb.inhibit.respiration:::macrophage,164,0.4,0.5,0.0,0.0
antitb.inhibit.respiration:::starvation,119,0.4,0.5,0.0,0.0
antitb.inhibit.transcription:::antitb.inhibit.transcription:::macrophage,250,0.4,0.83,0.0,0.0
antitb.iron.scavenger:::iron:::lim.nutrients,81,0.2,0.67,0.0,0.0
antitb.other,79,0.0,,0.0,
carbon.monoxide.stress:::macrophage,79,0.2,1.0,0.2,1.0
carbon.monoxide.stress:::macrophage:::osmotic.stress,83,0.4,0.5,0.0,0.0
carbon.monoxide.stress:::oxidative.stress,86,0.4,0.5,0.0,0.0
carbon.source:::carbon.source.carboxylic.acid:::carbon.source.fatty.acid:::carbon.source.lipid,238,0.4,0.25,0.0,0.0
carbon.source.fatty.acid,224,0.0,,0.0,
carbon.source.min:::lim.nutrients,64,0.4,0.5,0.0,0.0
carbon.source.min:::lim.nutrients:::starvation,92,0.4,0.5,0.0,0.0
cell.envelope.stress:::DNA.damage:::oxidative.stress:::nitrosative.stress,270,0.8,0.31,0.0,0.0
cell.envelope.stress:::antitb.inhibit.cell.wall.synthesis,186,0.4,0.5,0.0,0.0
cell.envelope.stress:::host.interaction:::macrophage,121,0.4,0.5,0.0,0.0
DNA.damage,67,0.2,1.0,0.2,1.0
DNA.damage:::antitb.DNA.damage,130,0.2,0.5,0.0,0.0
growth.strain.comp,149,0.4,1.0,0.4,1.0
growth.strain.comp:::carbon.source:::carbon.source.carboxylic.acid:::carbon.source.fatty.acid:::carbon.source.lipid,387,0.6,0.27,0.0,0.0
growth.strain.comp:::growth.wt,215,0.4,0.75,0.2,0.5
growth.strain.comp:::host.interaction:::macrophage,246,0.6,0.44,0.0,0.0
growth.wt,66,0.2,1.0,0.2,1.0
growth.wt:::carbon.source:::carbon.source.carboxylic.acid:::carbon.source.fatty.acid:::carbon.source.lipid,304,0.6,0.2,0.0,0.0
host.interaction:::macrophage,97,0.2,1.0,0.2,1.0
hypoxia,196,0.0,,0.0,
hypoxia:::lim.nutrients:::pH.stress,260,1.0,0.33,0.0,0.0
hypoxia:::lim.nutrients:::starvation,260,0.2,0.67,0.0,0.0
hypoxia:::starvation:::pH.stress,252,1.0,0.33,0.0,0.0
lim.nutrients:::starvation,64,0.2,1.0,0.2,1.0
lim.nutrients:::starvation:::carbon.source.carboxylic.acid:::carbon.source.fatty.acid:::carbon.source.lipid,296,0.2,0.4,0.0,0.0
macrophage,73,0.2,1.0,0.2,1.0
macrophage:::antitb.other,152,0.2,0.5,0.0,0.0
nitrosative.stress,99,0.4,1.0,0.4,1.0
nitrosative.stress:::hypoxia,295,0.4,0.5,0.0,0.0
nitrosative.stress:::macrophage,172,0.6,0.5,0.0,0.0
nitrosative.stress:::pH.stress:::osmotic.stress,131,0.8,0.58,0.2,0.25
osmotic.stress:::oxidative.stress:::pH.stress,112,1.0,0.4,0.0,0.0
oxidative.stress,80,0.2,1.0,0.2,1.0
pH.stress:::starvation:::hypoxia:::oxidative.stress,332,1.0,0.3,0.0,0.0
starvation:::carbon.source.min:::lim.nutrients,92,0.4,0.5,0.0,0.0
starvation:::macrophage,101,0.4,0.5,0.0,0.0
starvation:::carbon.source.carboxylic.acid:::carbon.source.fatty.acid:::carbon.source.lipid,260,0.2,0.25,0.0,0.0
