sample,block
H37Rv.reaeration.for.12hrs.rep.1,aeration
H37Rv.reaeration.for.12hrs.rep.2,aeration
H37Rv.reaeration.for.12hrs.rep.3,aeration
H37Rv.reaeration.for.12hrs.rep.4,aeration
H37Rv.reaeration.for.12hrs.rep.5,aeration
H37Rv.reaeration.for.12hrs.rep.6,aeration
H37Rv.reaeration.for.1hrs.rep.1,aeration
H37Rv.reaeration.for.1hrs.rep.2,aeration
H37Rv.reaeration.for.1hrs.rep.3,aeration
H37Rv.reaeration.for.1hrs.rep.4,aeration
H37Rv.reaeration.for.1hrs.rep.5,aeration
H37Rv.reaeration.for.1hrs.rep.6,aeration
H37Rv.reaeration.for.1hrs.rep.8,aeration
H37Rv.reaeration.for.24hrs.rep.1,aeration
H37Rv.reaeration.for.24hrs.rep.2,aeration
H37Rv.reaeration.for.24hrs.rep.3,aeration
H37Rv.reaeration.for.24hrs.rep.4,aeration
H37Rv.reaeration.for.24hrs.rep.5,aeration
H37Rv.reaeration.for.24hrs.rep.6,aeration
H37Rv.reaeration.for.4hrs.rep.1,aeration
H37Rv.reaeration.for.4hrs.rep.2,aeration
H37Rv.reaeration.for.4hrs.rep.3,aeration
H37Rv.reaeration.for.4hrs.rep.4,aeration
H37Rv.reaeration.for.4hrs.rep.5,aeration
H37Rv.reaeration.for.4hrs.rep.6,aeration
H37Rv.reaeration.for.4hrs.rep.7,aeration
H37Rv.reaeration.for.4hrs.rep.8,aeration
H37Rv.reaeration.for.6hrs.rep.1,aeration
H37Rv.reaeration.for.6hrs.rep.2,aeration
H37Rv.reaeration.for.6hrs.rep.3,aeration
H37Rv.reaeration.for.6hrs.rep.4,aeration
H37Rv.reaeration.for.6hrs.rep.5,aeration
MTB.strain.1254.Ctrl.vs.high.aeration.rep1,aeration
MTB.strain.1254.Ctrl.vs.high.aeration.rep2,aeration
MTB.strain.1254.Ctrl.vs.high.aeration.rep3,aeration
X0.12mg.mL.BZA.pH5.6..2h.,antitb.aromatic.amides
X0.12mg.mL.BZA.pH5.6..4h..1,antitb.aromatic.amides
X0.12mg.mL.BZA.pH5.6..4h..2,antitb.aromatic.amides
X0.12mg.mL.BZAvspH5.6..11h.,antitb.aromatic.amides
X0.12mg.mL.BZAvspH5.6..5h.,antitb.aromatic.amides
X0.12mg.mL.BZAvspH5.6..7h.,antitb.aromatic.amides
X0.12mg.mL.Nam.pH5.6..2h..1,antitb.aromatic.amides
X0.12mg.mL.Nam.pH5.6..2h..2,antitb.aromatic.amides
X0.12mg.mL.Nam.pH5.6..4h..1,antitb.aromatic.amides
X0.12mg.mL.Nam.pH5.6..4h..2,antitb.aromatic.amides
X0.12mg.mL.NamvspH5.6..4h.,antitb.aromatic.amides
X0.12mg.mL.NamvspH5.6..5.5h.,antitb.aromatic.amides
X0.12mg.mL.NamvspH5.6..7h.,antitb.aromatic.amides
X0.12mg.mL.PZA.pH5.6..2.5h.,antitb.aromatic.amides
X0.12mg.mL.PZA.pH5.6..2h.,antitb.aromatic.amides
X0.12mg.mL.PZA.pH5.6..4h..1,antitb.aromatic.amides
X0.12mg.mL.PZA.pH5.6..4h..2,antitb.aromatic.amides
X0.12mg.mL.PZA.pH5.6..5h.,antitb.aromatic.amides
X0.12mg.mL.PZAvspH5.6..10.5h.,antitb.aromatic.amides
X0.12mg.mL.PZAvspH5.6..11h.,antitb.aromatic.amides
X0.12mg.mL.PZAvspH5.6..4h.,antitb.aromatic.amides
X0.12mg.mL.PZAvspH5.6..4h.A,antitb.aromatic.amides
X0.12mg.mL.PZAvspH5.6..5.5h.,antitb.aromatic.amides
X0.12mg.mL.PZAvspH5.6..6h.,antitb.aromatic.amides
X0.12mg.mL.PZAvspH5.6..6h.A,antitb.aromatic.amides
X1.2mg.mL.NamvspH5.6..10.5h.,antitb.aromatic.amides
X1.2mg.mL.NamvspH5.6..5h.,antitb.aromatic.amides
X1.2mg.mL.PZA.pH5.6..2h..,antitb.aromatic.amides
X1.2mg.mL.PZA.pH5.6..5h.,antitb.aromatic.amides
X1.2mg.mL.PZAvspH5.6..10.5h.,antitb.aromatic.amides
X1.2mg.mL.PZAvspH5.6..16h.,antitb.aromatic.amides
X1.2mg.mL.PZAvspH5.6..4h.,antitb.aromatic.amides
