inclusion.blocks,block.sample.num
aeration:::growth.strain.comp,184
aeration:::growth.wt,101
aeration:::growth.wt:::carbon.source,107
aeration:::growth.wt:::growth.strain.comp,250
antitb.inhibit.cell.wall.synthesis:::cell.envelope.stress:::pH.stress,214
antitb.inhibit.respiration:::low.oxygen,112
antitb.DNA.damage,63
antitb.DNA.damage:::DNA.damage,130
antitb.DNA.damage:::DNA.damage:::oxidative.stress,210
antitb.inhibit.cell.wall.synthesis,162
antitb.inhibit.protein.synthesis,163
antitb.inhibit.protein.synthesis:::macrophage,236
antitb.inhibit.protein.synthesis:::nitrosative.stress,262
antitb.inhibit.protein.synthesis:::oxidative.stress,243
antitb.inhibit.respiration,91
antitb.inhibit.respiration:::macrophage,164
antitb.inhibit.respiration:::starvation,119
antitb.inhibit.transcription:::antitb.inhibit.transcription:::macrophage,250
antitb.iron.scavenger:::iron:::lim.nutrients,81
antitb.other,79
carbon.monoxide.stress:::macrophage,79
carbon.monoxide.stress:::macrophage:::osmotic.stress,83
carbon.monoxide.stress:::oxidative.stress,86
carbon.source:::carbon.source.carboxylic.acid:::carbon.source.fatty.acid:::carbon.source.lipid,238
carbon.source.fatty.acid,224
carbon.source.min:::lim.nutrients,64
carbon.source.min:::lim.nutrients:::starvation,92
cell.envelope.stress:::DNA.damage:::oxidative.stress:::nitrosative.stress,270
cell.envelope.stress:::antitb.inhibit.cell.wall.synthesis,186
cell.envelope.stress:::host.interaction:::macrophage,121
DNA.damage,67
DNA.damage:::antitb.DNA.damage,130
growth.strain.comp,149
growth.strain.comp:::carbon.source:::carbon.source.carboxylic.acid:::carbon.source.fatty.acid:::carbon.source.lipid,387
growth.strain.comp:::growth.wt,215
growth.strain.comp:::host.interaction:::macrophage,246
growth.wt,66
growth.wt:::carbon.source:::carbon.source.carboxylic.acid:::carbon.source.fatty.acid:::carbon.source.lipid,304
host.interaction:::macrophage,97
hypoxia,196
hypoxia:::lim.nutrients:::pH.stress,260
hypoxia:::lim.nutrients:::starvation,260
hypoxia:::starvation:::pH.stress,252
lim.nutrients:::starvation,64
lim.nutrients:::starvation:::carbon.source.carboxylic.acid:::carbon.source.fatty.acid:::carbon.source.lipid,296
macrophage,73
macrophage:::antitb.other,152
nitrosative.stress,99
nitrosative.stress:::hypoxia,295
nitrosative.stress:::macrophage,172
nitrosative.stress:::pH.stress:::osmotic.stress,131
osmotic.stress:::oxidative.stress:::pH.stress,112
oxidative.stress,80
pH.stress:::starvation:::hypoxia:::oxidative.stress,332
starvation:::carbon.source.min:::lim.nutrients,92
starvation:::macrophage,101
starvation:::carbon.source.carboxylic.acid:::carbon.source.fatty.acid:::carbon.source.lipid,260
