locusId	accession	GI	scaffoldId	start	stop	strand	sysName	name	desc	COG	COGFun	COGDesc	TIGRFam	TIGRRoles	GO	EC	ECDesc
14146	NP_414542.1	16127995	7023	190	255	+	b0001	thrL	thr operon leader peptide (NCBI)				TIGR02077 thr operon leader peptide [thrL]	Amino acid biosynthesis:Aspartate family	GO:0009088		
14147	NP_414543.1	16127996	7023	337	2799	+	b0002	thrA	bifunctional aspartokinase I/homeserine dehydrogenase I (NCBI)	COG527	E	Aspartokinases	TIGR00657 aspartate kinase	Amino acid biosynthesis:Aspartate family	GO:0009067,GO:0004072,GO:0004412,GO:0016597	2.7.2.4	Aspartate kinase.
14148	NP_414544.1	16127997	7023	2801	3733	+	b0003	thrB	homoserine kinase (NCBI)	COG83	E	Homoserine kinase	TIGR00191 homoserine kinase [thrB]	Amino acid biosynthesis:Aspartate family	GO:0006566,GO:0016310,GO:0004413,GO:0005524	2.7.1.39	Homoserine kinase.
14149	NP_414545.1	16127998	7023	3734	5020	+	b0004	thrC	threonine synthase (NCBI)	COG498	E	Threonine synthase	TIGR00260 threonine synthase [thrC]	Amino acid biosynthesis:Aspartate family	GO:0009088,GO:0004795,GO:0030170	4.2.3.1	Threonine synthase.
14150	NP_414546.1	16127999	7023	5234	5530	+	b0005	yaaX	hypothetical protein (NCBI)								
14151	NP_414547.1	16128000	7023	6459	5683	-	b0006	yaaA	hypothetical protein (NCBI)	COG3022	S	Uncharacterized protein conserved in bacteria					
14152	NP_414548.1	16128001	7023	7959	6529	-	b0007	yaaJ	predicted transporter (NCBI)	COG1115	E	Na+/alanine symporter	TIGR00835 amino acid carrier protein [agcS]		GO:0006814,GO:0016020,GO:0005283		
14153	NP_414549.1	16128002	7023	8238	9191	+	b0008	talB	transaldolase B (NCBI)	COG176	G	Transaldolase	TIGR00874 transaldolase [tal]	Energy metabolism:Pentose phosphate pathway	GO:0006098,GO:0005737,GO:0004801	2.2.1.2	Transaldolase.
14154	NP_414550.1	16128003	7023	9306	9893	+	b0009	mog	molybdenum cofactor biosynthesis protein (NCBI)	COG521	H	Molybdopterin biosynthesis enzymes	TIGR00177 molybdenum cofactor synthesis domain		GO:0006777		
14155	NP_414551.1	16128004	7023	10494	9928	-	b0010	yaaH	conserved inner membrane protein associated with acetate transport (NCBI)	COG1584	S	Predicted membrane protein			GO:0016020		
14156	NP_414552.1	16128005	7023	11356	10643	-	b0011	yaaW	hypothetical protein (NCBI)	COG4735	S	Uncharacterized protein conserved in bacteria					
14158	NP_414554.1	16128007	7023	11786	11382	-	b0013	yaaI	hypothetical protein (NCBI)								
14159	NP_414555.1	16128008	7023	12163	14079	+	b0014	dnaK	molecular chaperone DnaK (NCBI)	COG443	O	Molecular chaperone	TIGR02350 chaperone protein DnaK [dnaK]	Protein fate:Protein folding and stabilization	GO:0006457,GO:0005524,GO:0032440,GO:0051082	1.3.1.74	2-alkenal reductase.
14160	NP_414556.1	16128009	7023	14168	15298	+	b0015	dnaJ	chaperone Hsp40, co-chaperone with DnaK (NCBI)	COG484	O	DnaJ-class molecular chaperone with C-terminal Zn finger domain	TIGR02349 chaperone protein DnaJ [dnaJ]		GO:0009408,GO:0006457,GO:0005524,GO:0031072,GO:0051082		
14161	NP_414557.1	16128010	7023	15445	16557	+	b0016	insL-1	IS186/IS421 transposase (NCBI)						GO:0006313,GO:0003677,GO:0004803		
14163	NP_414559.1	16128012	7023	16960	16751	-	b0018	mokC	regulatory protein for HokC, overlaps CDS of hokC (NCBI)						GO:0016020		
1936200	YP_025292.1	49175991	7023	16903	16751	-	b4412	hokC	toxic membrane protein, small (NCBI)						GO:0016020		
1936201			7023	16952	17006	+	b4413	sokC	regulatory antisense RNA (NCBI)								
14164	NP_414560.1	16128013	7023	17489	18655	+	b0019	nhaA	pH-dependent sodium/proton antiporter (NCBI)	COG3004	P	Na+/H+ antiporter	TIGR00773 Na+/H+ antiporter NhaA [nhaA]	Transport and binding proteins:Cations and iron carrying compounds	GO:0006814,GO:0006885,GO:0016021		
14165	NP_414561.1	16128014	7023	18715	19620	+	b0020	nhaR	DNA-binding transcriptional activator (NCBI)	COG583	K	Transcriptional regulator			GO:0006355,GO:0003700		
14166	NP_414562.1	16128015	7023	20314	19811	-	b0021	insB-1	IS1 transposase InsAB' (NCBI)	COG1662	L	Transposase and inactivated derivatives, IS1 family			GO:0006313,GO:0003677,GO:0004803		
14167	NP_414563.1	16128016	7023	20508	20233	-	b0022	insA-1	IS1 repressor protein InsA (NCBI)	COG3677	L	Transposase and inactivated derivatives			GO:0006313,GO:0045449,GO:0003677		
14168	NP_414564.1	16128017	7023	21078	20815	-	b0023	rpsT	30S ribosomal protein S20 (NCBI)	COG268	J	Ribosomal protein S20	TIGR00029 ribosomal protein S20 [rpsT]	Protein synthesis:Ribosomal proteins: synthesis and modification	GO:0006412,GO:0005840,GO:0003723,GO:0003735		
14169	NP_414565.1	16128018	7023	21181	21399	+	b0024	yaaY	hypothetical protein (NCBI)								
14170	NP_414566.1	16128019	7023	21407	22348	+	b0025	ribF	hypothetical protein (NCBI)	COG196	H	FAD synthase	TIGR00083 riboflavin biosynthesis protein RibF [ribF]	Biosynthesis of cofactors, prosthetic groups, and carriers:Riboflavin, FMN, and FAD	GO:0009231,GO:0003919,GO:0008531	2.7.1.26,2.7.7.2	Riboflavin kinase.,FAD synthetase.
14171	NP_414567.1	16128020	7023	22391	25207	+	b0026	ileS	isoleucyl-tRNA synthetase (NCBI)	COG60	J	Isoleucyl-tRNA synthetase	TIGR00392 isoleucine--tRNA ligase [ileS]	Protein synthesis:tRNA aminoacylation	GO:0006428,GO:0005737,GO:0004822,GO:0008270,GO:0005524	6.1.1.5	Isoleucine--tRNA ligase.
14172	NP_414568.1	16128021	7023	25207	25701	+	b0027	lspA	signal peptidase II (NCBI)	COG597	MU	Lipoprotein signal peptidase	TIGR00077 signal peptidase II [lspA]	Protein fate:Protein and peptide secretion and trafficking	GO:0006508,GO:0016020,GO:0009005	3.4.23.36	Signal peptidase II.
14173	NP_414569.1	16128022	7023	25826	26275	+	b0028	fkpB	FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase) (NCBI)	COG1047	O	FKBP-type peptidyl-prolyl cis-trans isomerases 2			GO:0006457,GO:0003755,GO:0042027,GO:0004600,GO:0030051	5.2.1.8	Peptidylprolyl isomerase.
14174	NP_414570.1	16128023	7023	26277	27227	+	b0029	ispH	4-hydroxy-3-methylbut-2-enyl diphosphate reductase (NCBI)	COG761	IM	Penicillin tolerance protein	TIGR00216 4-hydroxy-3-methylbut-2-enyl diphosphate reductase [ispH]	Biosynthesis of cofactors, prosthetic groups, and carriers:Other	GO:0019288,GO:0051745	1.17.1.2	4-hydroxy-3-methylbut-2-enyl diphosphate reductase.
14175	NP_414571.1	16128024	7023	27293	28207	+	b0030	rihC	ribonucleoside hydrolase 3 (NCBI)	COG1957	F	Inosine-uridine nucleoside N-ribohydrolase			GO:0008477	3.2.-.-,3.2.2.1	,Purine nucleosidase.
14176	NP_414572.1	16128025	7023	28374	29195	+	b0031	dapB	dihydrodipicolinate reductase (NCBI)	COG289	E	Dihydrodipicolinate reductase	TIGR00036 dihydrodipicolinate reductase [dapB]	Amino acid biosynthesis:Aspartate family	GO:0009089,GO:0005737,GO:0008839	1.3.1.26	Dihydrodipicolinate reductase.
14177	NP_414573.1	16128026	7023	29651	30799	+	b0032	carA	carbamoyl-phosphate synthase small subunit (NCBI)	COG505	EF	Carbamoylphosphate synthase small subunit	TIGR01368 carbamoyl-phosphate synthase, small subunit [carA]	Purines, pyrimidines, nucleosides, and nucleotides:Pyrimidine ribonucleotide biosynthesis	GO:0006541,GO:0009058,GO:0004088,GO:0005524	6.3.5.5	Carbamoyl-phosphate synthase (glutamine-hydrolyzing).
14178	NP_414574.1	16128027	7023	30817	34038	+	b0033	carB	carbamoyl-phosphate synthase large subunit (NCBI)	COG458	EF	Carbamoylphosphate synthase large subunit (split gene in MJ)	TIGR01369 carbamoyl-phosphate synthase, large subunit [carB]	Purines, pyrimidines, nucleosides, and nucleotides:Pyrimidine ribonucleotide biosynthesis	GO:0019856,GO:0006526,GO:0005737,GO:0004088,GO:0005524	6.3.5.5	Carbamoyl-phosphate synthase (glutamine-hydrolyzing).
14180	NP_414576.4	90111079	7023	34300	34695	+	b0034	caiF	transcriptional regulator of cai operon (VIMSS)								
14181	NP_414577.2	90111080	7023	35371	34781	-	b0035	caiE	possible synthesis of cofactor for carnitine racemase and dehydratase (VIMSS)	COG663	R	Carbonic anhydrases/acetyltransferases, isoleucine patch superfamily			GO:0008415,GO:0016740		
14182	NP_414578.2	221800779	7023	36162	35377	-	b0036	caiD	crotonobetainyl CoA hydratase (RefSeq)	COG1024	I	Enoyl-CoA hydratase/carnithine racemase			GO:0008152,GO:0003824	4.2.1.-	
14183	NP_414579.4	221800780	7023	37824	36271	-	b0037	caiC	predicted crotonobetaine CoA ligase:carnitine CoA ligase (RefSeq)	COG318	IQ	Acyl-CoA synthetases (AMP-forming)/AMP-acid ligases II			GO:0008152,GO:0003824	6.3.2.-	
14184	NP_414580.1	16128032	7023	39115	37898	-	b0038	caiB	crotonobetainyl-CoA:carnitineCoA-transferase (NCBI)	COG1804	C	Predicted acyl-CoA transferases/carnitine dehydratase			GO:0008152,GO:0003824		
14185	NP_414581.1	16128033	7023	40386	39244	-	b0039	caiA	crotonobetaine reductase subunit II, FAD-binding (NCBI)	COG1960	I	Acyl-CoA dehydrogenases			GO:0006118,GO:0003995,GO:0050660	1.3.99.-	
14186	NP_414582.1	16128034	7023	41931	40417	-	b0040	caiT	L-carnitine/gamma-butyrobetaine antiporter (NCBI)	COG1292	M	Choline-glycine betaine transporter	TIGR00842 transporter, betaine/carnitine/choline transporter (BCCT) family	Transport and binding proteins:Other	GO:0006810,GO:0016020,GO:0005215		
14187	NP_414583.2	90111081	7023	42403	43173	+	b0041	fixA	probable flavoprotein subunit, carnitine metabolism (VIMSS)	COG2086	C	Electron transfer flavoprotein, beta subunit			GO:0006118,GO:0009055		
14188	NP_414584.1	16128036	7023	43188	44129	+	b0042	fixB	predicted electron transfer flavoprotein, NAD/FAD-binding domain and ETFP adenine nucleotide-binding domain-like (NCBI)	COG2025	C	Electron transfer flavoprotein, alpha subunit			GO:0006118,GO:0009055,GO:0050660		
14189	NP_414585.1	16128037	7023	44180	45466	+	b0043	fixC	predicted oxidoreductase with FAD/NAD(P)-binding domain (NCBI)	COG644	C	Dehydrogenases (flavoproteins)			GO:0006118,GO:0009228,GO:0016491	1.5.5.-	
14190	NP_414586.1	16128038	7023	45463	45750	+	b0044	fixX	predicted 4Fe-4S ferredoxin-type protein (NCBI)	COG2440	C	Ferredoxin-like protein			GO:0006118,GO:0005506		
14191	NP_414587.1	16128039	7023	45807	47138	+	b0045	yaaU	predicted transporter (NCBI)	COG2271	G	Sugar phosphate permease			GO:0006810,GO:0016021,GO:0005215		
14192	NP_414588.1	16128040	7023	47246	47776	+	b0046	kefF	glutathione-regulated potassium-efflux system ancillary protein (NCBI)	COG2249	R	Putative NADPH-quinone reductase (modulator of drug activity B)			GO:0006118,GO:0016491,GO:0050662	1.6.99.-	
14193	NP_414589.1	16128041	7023	47769	49631	+	b0047	kefC	glutathione-regulated potassium-efflux system protein (NCBI)	COG475	P	Kef-type K+ transport systems, membrane components	TIGR00932 transporter, monovalent cation:proton antiporter-2 (CPA2) family	Transport and binding proteins:Cations and iron carrying compounds	GO:0006813,GO:0006885,GO:0016021,GO:0015299		
14194	NP_414590.1	16128042	7023	49823	50302	+	b0048	folA	dihydrofolate reductase (NCBI)	COG262	H	Dihydrofolate reductase			GO:0006545,GO:0009165,GO:0004146,GO:0050661	1.5.1.3	Dihydrofolate reductase.
14195	NP_414591.1	16128043	7023	51222	50380	-	b0049	apaH	diadenosinetetraphosphatase (NCBI)	COG639	T	Diadenosine tetraphosphatase and related serine/threonine protein phosphatases	TIGR00668 bis(5'-nucleosyl)-tetraphosphatase (symmetrical) [apaH]	Cellular processes:Adaptations to atypical conditions	GO:0008803	3.6.1.41	Bis(5'-nucleosyl)-tetraphosphatase (symmetrical).
14196	NP_414592.1	16128044	7023	51606	51229	-	b0050	apaG	hypothetical protein (NCBI)	COG2967	P	Uncharacterized protein affecting Mg2+/Co2+ transport					
14197	NP_414593.1	16128045	7023	52430	51609	-	b0051	ksgA	dimethyladenosine transferase (NCBI)	COG30	J	Dimethyladenosine transferase (rRNA methylation)	TIGR00755 dimethyladenosine transferase [ksgA]	Protein synthesis:tRNA and rRNA base modification	GO:0000154,GO:0000179	2.1.1.-	
14198	NP_414594.1	16128046	7023	53416	52427	-	b0052	pdxA	4-hydroxythreonine-4-phosphate dehydrogenase (NCBI)	COG1995	H	Pyridoxal phosphate biosynthesis protein	TIGR00557 4-hydroxythreonine-4-phosphate dehydrogenase [pdxA]	Biosynthesis of cofactors, prosthetic groups, and carriers:Pyridoxine	GO:0008615,GO:0050569,GO:0050570,GO:0051287	1.1.1.262	4-hydroxythreonine-4-phosphate dehydrogenase.
14199	NP_414595.1	16128047	7023	54702	53416	-	b0053	surA	peptidyl-prolyl cis-trans isomerase (PPIase) (NCBI)	COG760	O	Parvulin-like peptidyl-prolyl isomerase			GO:0006457,GO:0015031,GO:0003755,GO:0030051,GO:0004600,GO:0042027	5.2.1.8	Peptidylprolyl isomerase.
14200	NP_414596.1	16128048	7023	57109	54755	-	b0054	imp	organic solvent tolerance protein precursor (NCBI)	COG1452	M	Organic solvent tolerance protein OstA			GO:0010033,GO:0016044,GO:0019867		
14201	NP_414597.1	16128049	7023	57364	58179	+	b0055	djlA	Dna-J like membrane chaperone protein (NCBI)	COG1076	O	DnaJ-domain-containing proteins 1			GO:0006457,GO:0031072,GO:0051082		
3446137			7023	58474	59269	+	b4659	yabP									
14204	NP_414600.1	16128052	7023	60346	59687	-	b0058	rluA	pseudouridine synthase for 23S rRNA (position 746) and tRNAphe(position 32) (NCBI)	COG564	J	Pseudouridylate synthases, 23S RNA-specific	TIGR00005 pseudouridine synthase, RluA family	Protein synthesis:tRNA and rRNA base modification	GO:0001522,GO:0003723,GO:0016439	5.4.99.12	tRNA-pseudouridine synthase I.
14205	NP_414601.1	16128053	7023	63264	60358	-	b0059	hepA	ATP-dependent helicase HepA (NCBI)	COG553	KL	Superfamily II DNA/RNA helicases, SNF2 family			GO:0003677,GO:0004386,GO:0005524	3.6.1.-	
14206	NP_414602.1	16128054	7023	65780	63429	-	b0060	polB	DNA polymerase II (NCBI)	COG417	L	DNA polymerase elongation subunit (family B)			GO:0006260,GO:0000166,GO:0003891,GO:0016449,GO:0019984,GO:0003677,GO:0003893,GO:0015999,GO:0016450,GO:0003889,GO:0003894,GO:0016000,GO:0016451,GO:0003890,GO:0003895,GO:0016448,GO:0016452	2.7.7.7	DNA-directed DNA polymerase.
14207	NP_414603.1	16128055	7023	66550	65855	-	b0061	araD	L-ribulose-5-phosphate 4-epimerase (NCBI)	COG235	G	Ribulose-5-phosphate 4-epimerase and related epimerases and aldolases	TIGR00760 L-ribulose-5-phosphate 4-epimerase [araD]	Energy metabolism:Sugars	GO:0019572,GO:0008270,GO:0008742	5.1.3.4	L-ribulose-5-phosphate 4-epimerase.
14208	NP_414604.1	16128056	7023	68337	66835	-	b0062	araA	L-arabinose isomerase (NCBI)	COG2160	G	L-arabinose isomerase			GO:0006004,GO:0008152,GO:0005737,GO:0008736,GO:0008733	5.3.1.4	L-arabinose isomerase.
14209	NP_414605.1	16128057	7023	70048	68348	-	b0063	araB	ribulokinase (NCBI)	COG1069	C	Ribulose kinase	TIGR01234 L-ribulokinase [araB]	Energy metabolism:Sugars	GO:0019572,GO:0008741	2.7.1.16	Ribulokinase.
14210	NP_414606.1	16128058	7023	70387	71265	+	b0064	araC	DNA-binding transcriptional dual regulator (NCBI)	COG2207	K	AraC-type DNA-binding domain-containing proteins			GO:0006355,GO:0005622,GO:0003677,GO:0043565,GO:0003700		
